,Unnamed: 0,remote_hostname,company,company_website,result
0,2644,kbronet.com.tw,"Kbro Co., Ltd.",https://www.kbro.com.tw/,First-party host
1,2644,kbronet.com.tw,Kbro,https://www.kbro.com.tw/,Internet Service Provider
2,2162,pi-charter.net,PI Charter,https://www.pi-charter.net/,static server
3,2162,pi-charter.net,Pi Charter,https://pi-charter.net,DNS
4,199,audible.com,Audible,https://www.audible.com/,first-party host
5,199,audible.com,Audible,https://www.audible.com/,The purpose of the domain is to serve as an online platform for purchasing and listening to audiobooks. It may also utilize analytics to gather data on user behavior and preferences.
6,2706,volia.net,Volia,https://volia.com,first-party host
7,2706,volia.net,Volia,https://volia.com/,"['Internet Service Provider', 'cable television provider', 'VoIP provider', 'content provider']"
8,904,dazn.com,DAZN,https://www.dazn.com,sports streaming service
9,904,dazn.com,DAZN,https://www.dazn.com/,"['Live sports streaming', 'Video on demand', 'User authentication', 'Payment processing']"
10,363,shoptv.com,ShopTV,https://www.shoptv.com/,marketing
11,363,shoptv.com,ShopTV,www.shoptv.com,E-commerce
12,1121,betrad.com,Beeswax,https://www.beeswax.com/,advertising
13,1121,betrad.com,BeTRaD,https://www.betrad.com/,marketing
14,2673,omegacdn.net,Omega CDN,https://omegacdn.net/,CDN
15,2673,omegacdn.net,Omega CDN,https://www.omegacdn.net/,CDN
16,2425,myiphost.com,DNS,https://myiphost.com/,The purpose of the provided URL is to provide the DNS lookup service for resolving the IP address of a given domain name.
17,2425,myiphost.com,My IP Host,https://myiphost.com/,"{'purpose': 'DNS', 'description': 'Provides a tool to lookup DNS records of a domain or IP address.'}"
18,1896,sail-horizon.com,Sail Horizon,https://sail-horizon.com/,static server
19,1896,sail-horizon.com,Sail Horizon,sail-horizon.com,It is not possible to determine the purpose of this domain as it is currently parked and no content is available.
20,2516,ubianet.com,UbiAneT,https://ubianet.com/,It is not possible to determine the purpose of the provided URL without additional information.
21,2516,ubianet.com,Ubiant,https://www.ubiant.com/,It is not possible to identify the purpose of the domain without additional information or clarification on which aspect of the Ubiant website is being referred to.
22,2813,mitene.us,Mitene,https://mitene.us/,first-party host
23,2813,mitene.us,Mitene,mitene.us,It is not possible to determine the purpose of the domain as it does not have any active website or online presence.
24,911,docker.io,"Docker, Inc.",https://www.docker.com/,CDN
25,911,docker.io,Docker,https://www.docker.com/,container registry and distribution platform
26,1794,redbend.com,Redbend,https://www.redbend.com/,static server
27,1794,redbend.com,Redbend Software,https://www.redbend.com/,"Redbend Software provides IoT software management technology and solutions for connected devices such as cars, smartphones and IoT devices. Therefore, the purpose of the domain is to provide information about their products and services."
28,3087,ipvanish.com,IPVanish,https://www.ipvanish.com/,VPN service provider
29,3087,ipvanish.com,IPVanish,https://www.ipvanish.com/,VPN service provider to protect user privacy and security online.
30,3386,awsdns-06.com,Amazon Web Services,https://aws.amazon.com/,DNS
31,3386,awsdns-06.com,Amazon Web Services,https://aws.amazon.com/,DNS
32,1548,amazonpmi.com,Amazon,https://www.amazon.com/,CDN
33,1548,amazonpmi.com,Amazon,https://www.amazon.com/,"It is unclear what the purpose of the domain amazonpmi.com is, as it does not appear to be an official Amazon website or service. Further investigation would be necessary to determine its purpose."
