,Unnamed: 0,remote_hostname,company,company_website,result
0,1884,tiktokv.com,Unknown,,marketing
1,1884,tiktokv.com,Unknown,,Unknown
2,309,channel4.com,Channel Four Television Corporation,https://www.channel4.com/,first-party host
3,309,channel4.com,Channel Four Television Corporation,https://www.channel4.com,first-party host
4,1603,hover.com,Hover,https://www.hover.com/,first-party host
5,1603,hover.com,Hover,https://www.hover.com/,DNS
6,1063,intrinsec.com,Intrinsec,https://intrinsec.com/,first-party host
7,1063,intrinsec.com,Intrinsec,https://intrinsec.com/,first-party host
8,3544,gen4.ninja,,,Unable to determine the purpose of the provided URL
9,3544,gen4.ninja,Gen4,https://gen4.tech/,CDN
10,1770,jio.com,Reliance Jio Infocomm Limited,https://www.jio.com/,first-party host
11,1770,jio.com,Reliance Jio Infocomm,https://www.jio.com/,first-party host
12,3549,bloomsky.com,BloomSky,https://www.bloomsky.com/,marketing
13,3549,bloomsky.com,BloomSky,https://www.bloomsky.com/,IoT weather station and related services provider
14,2260,fibianet.dk,Fibia A/S,https://www.fibia.dk/,first-party host
15,2260,fibianet.dk,Fibianet A/S,https://www.fibianet.dk/,first-party host
16,1468,remotewd.com,Remote Work Development,https://www.remotewd.com/,first-party host
17,1468,remotewd.com,Remote Workly,https://remoteworkly.co/,First-party host
18,192,skype.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
19,192,skype.com,Microsoft Corporation,https://www.microsoft.com,first-party host
20,807,casalemedia.com,Index Exchange,https://www.indexexchange.com/,advertising
21,807,casalemedia.com,Index Exchange,https://www.indexexchange.com/,advertising
22,1225,thunderbird.net,Mozilla Corporation,https://www.mozilla.org/,first-party host
23,1225,thunderbird.net,Mozilla Foundation,https://www.mozilla.org/,first-party host
24,1143,google.fi,Google,https://www.google.com/,DNS
25,1143,google.fi,Google,https://www.google.com/,first-party host
26,3526,comfortel.pro,Comfortel,https://comfortel.pro,first-party host
27,3526,comfortel.pro,Comfortel,https://comfortel.pro/,first-party host
28,2449,amazonses.com,Amazon,https://aws.amazon.com/,email delivery service
29,2449,amazonses.com,Amazon,https://www.amazon.com/,email service provider
30,1566,adhigh.net,AdHigh,https://www.adhigh.net/,advertising
31,1566,adhigh.net,Adhigh,https://adhigh.net/,advertising
32,3100,rumafia.com,,,tracking
33,3100,rumafia.com,,,Unknown
34,1926,isappcloud.com,AppCloud Ltd.,https://www.isappcloud.com/,CDN
35,1926,isappcloud.com,Apple Inc.,https://www.apple.com/,CDN
36,1193,getgo.com,Citrix Systems,https://www.citrix.com/,marketing
37,1193,getgo.com,GetGo,https://www.getgoph.com/,marketing
38,2959,virtua.com.br,Virtua,https://virtua.com.br/,static server
39,2959,virtua.com.br,Virtua,https://www.virtua.com.br/,first-party host
40,3292,cablelynx.com,Sparklight,https://www.sparklight.com,Static Server
41,3292,cablelynx.com,Cablelynx,https://www.sparklight.com/,first-party host
42,2055,audioeye.com,AudioEye,https://www.audioeye.com/,analytics
43,2055,audioeye.com,AudioEye,https://www.audioeye.com/,marketing
44,74,samsungcloudsolution.net,Samsung,https://www.samsung.com/,CDN
45,74,samsungcloudsolution.net,Samsung,https://www.samsung.com/,CDN
46,3445,webcollage.net,Webcollage,https://www.webcollage.com/,marketing
47,3445,webcollage.net,Webcollage,https://www.webcollage.com/,marketing
48,3169,litecoinpool.org,Litecoinpool,https://www.litecoinpool.org/,mining pool website
49,3169,litecoinpool.org,Litecoin Pool,https://www.litecoinpool.org/,mining pool
50,726,consensu.org,IAB Tech Lab,https://iabtechlab.com/,tracking
51,726,consensu.org,Consensu,https://consensu.org/,tracking
52,2656,hubapi.com,HubSpot,https://www.hubspot.com/,API service
53,2656,hubapi.com,HubSpot,https://www.hubspot.com/,marketing
