,remote_hostname,company,company_website,result
2400,bugherd.com,BugHerd,https://bugherd.com,analytics
2401,ivaws.com,iVAS,https://www.ivas.com/,CDN
2402,basicattentiontoken.org,Basic Attention Token,https://basicattentiontoken.org/,First-party host
2403,voip.ms,voip.ms,https://voip.ms/,VoIP service provider
2404,isnssdk.com,ByteDance,https://www.bytedance.com/en/,analytics
2405,daily-choices.com,Daily Choices,https://daily-choices.com,marketing
2406,ustc.edu.cn,University of Science and Technology of China,www.ustc.edu.cn,first-party host
2407,amap.com,"AutoNavi Information Technology Co., Ltd",http://www.autonavi.com/,mapping and navigation services
2408,alikunlun.com,,,
2409,error.arpa,,,DNS
2410,fsapi.com,FSAPI,fsapi.com,analytics
2411,f-secure.com,F-Secure,https://www.f-secure.com/,first-party host
2412,vonage.com,Vonage,www.vonage.com,first-party host
2413,xdsl.is,Vodafone Iceland,https://www.vodafone.is/,DNS
2414,xplornet.com,Xplornet,https://www.xplornet.com/,first-party host
2415,beachfrontmedia.com,Beachfront Media,https://beachfront.com/,advertising
2416,associates-amazon.com,Amazon,https://www.amazon.com/,marketing
2417,schoology.com,Schoology,https://www.schoology.com/,first-party host
2418,uber.com,Uber Technologies Inc.,https://www.uber.com/,first-party host
2419,latchaccess.com,Latch,https://www.latch.com/,First-party host
2420,raumfeld.com,Raumfeld,https://www.raumfeld.com/,first-party host
2421,unrulymedia.com,Unruly Media,https://unruly.co/,advertising
2422,teads.tv,Teads,https://www.teads.com/,advertising
2423,telia.com,Telia Company,https://www.telia.com,first-party host
2424,dnsnode.net,DNSnode,https://dnsnode.net/,DNS
2425,myiphost.com,MyIPHost,https://www.myiphost.com,DNS
2426,afraid.org,FreeDNS,https://freedns.afraid.org/,DNS
2427,aviationweather.gov,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,Analytics
2428,fastwebnet.it,Fastweb,fastweb.it,DNS
2429,vodafone.pt,Vodafone Portugal,www.vodafone.pt,first-party host
2430,comunitel.net,Comunitel,https://www.comunitel.net/,First-party host
2431,tpnet.pl,TP S.A.,https://www.tp.pl/,DNS
2432,anteldata.net.uy,Antel,https://www.antel.com.uy/,DNS
2433,etb.net.co,ETB,https://www.etb.com/,first-party host
2434,dedyn.io,Dedyn.io GmbH,https://dedyn.io,DNS
2435,myrepublic.co.id,MyRepublic,myrepublic.co.id,first-party host
2436,jon.cz,JON.CZ,http://www.jon.cz/,First-party host
2437,gemnet.cz,Gemnet,https://www.gemnet.cz/,DNS
2438,go2cloud.org,Go2Cloud,https://www.go2cloud.org/,marketing
2439,ypncdn.com,YPC Technologies,https://ypc.tech/,CDN
2440,amazon.cn,Amazon,www.amazon.com,first-party host
2441,airbnb.it,Airbnb,www.airbnb.com,first-party host
2442,airbnb.com.tw,Airbnb,www.airbnb.com,first-party host
2443,yelp.pt,Yelp,www.yelp.com,first-party host
2444,yelp.co.jp,Yelp,www.yelp.com,marketing
2445,yelp.com.tr,Yelp,www.yelp.com,first-party host
2446,airbnb.cz,Airbnb,www.airbnb.com,first-party host
2447,yelp.de,Yelp,www.yelp.com,first-party host
2448,yelp.co.nz,Yelp,www.yelp.com,first-party host
2449,amazonses.com,Amazon,https://www.amazon.com/,email service provider
2450,autodesk.com,Autodesk,autodesk.com,first-party host
2451,appsee.com,Appsee,https://www.appsee.com/,analytics
2452,accountkit.com,Facebook,https://www.facebook.com/,Authentication service provider
2453,mtg-api.com,MTG,mtg.com,API for accessing Magic: The Gathering game data
2454,spark.io,Particle Industries,https://www.particle.io/,Internet of Things (IoT) platform and development tools
2455,particle.io,Particle,https://www.particle.io/,IoT device platform provider (first-party host)
2456,connman.net,Intel Corporation,https://www.intel.com/,DNS
2457,cloudflarebolt.com,Cloudflare,https://www.cloudflare.com/,CDN
2458,ycombinator.com,Y Combinator,https://www.ycombinator.com/,first-party host
2459,strava.com,Strava,https://www.strava.com/,Fitness tracking
2460,contobox.com,Contobox,https://www.contobox.com/,advertising
2461,distiltag.com,Distil Networks,https://www.distilnetworks.com/,CDN
2462,wordplays.com,Wordplays,https://www.wordplays.com/,First-party host
2463,sailthru.com,Sailthru,https://www.sailthru.com/,marketing
2464,venmo.com,Venmo,https://venmo.com/,first-party host
2465,unbounce.com,Unbounce,https://unbounce.com/,marketing
2466,ipstatp.com,IPStatp,https://www.ipstatp.com/,analytics
2467,consumerreports.org,Consumer Reports,consumerreports.org,First-party host
2468,airpr.com,AirPR,https://www.airpr.com/,marketing
2469,svc.ms,,,CDN
2470,adobeprimetime.com,Adobe,https://www.adobe.com/,CDN
2471,torproject.org,The Tor Project,https://www.torproject.org/,first-party host
2472,superhuman.com,Superhuman,https://superhuman.com/,marketing
2473,ip-192-99-15.net,OVH Hosting,https://www.ovh.com/,CDN
2474,quantumdex.io,Quantum Metric,https://www.quantummetric.com/,analytics
2475,axiscam.net,Axis Communications,https://www.axis.com,static server
2476,fandom.com,Fandom,https://www.fandom.com/,first-party host
2477,wikia.com,Wikia,https://www.wikia.com/,first-party host
2478,molotov.tv,Molotov,https://www.molotov.tv/,first-party host
2479,telemach.net,Telemach,https://www.telemach.si/,Internet Service Provider (ISP)
2480,inbake.com,Inbake,https://inbake.com/,static server
2481,arcpublishing.com,Arc Publishing,https://www.arcpublishing.com/,CDN
2482,ctfassets.net,Contentful,https://www.contentful.com/,CDN
2483,usa-streams.com,Unknown,,Unknown purpose
2484,shopify.com,Shopify,https://www.shopify.com/,e-commerce platform
2485,postrelease.com,PostRelease,www.postrelease.com,advertising
2486,houzz.com,Houzz,www.houzz.com,Marketing
2487,bgr.com,"BGR Media, LLC",https://bgr.com/,marketing
2488,expressapisv2.net,ExpressAPIs,https://expressapis.com,CDN
2489,your.org,Your Organization,https://www.yourorg.com,First-Party Host
2490,start.ca,Start Communications,https://www.start.ca/,First-party host
2491,hearstapps.com,Hearst Corporation,https://www.hearst.com/,CDN
2492,gigya.com,Gigya,https://www.gigya.com/,first-party host
2493,tele2.se,Tele2,https://www.tele2.com/,first-party host
2494,mql5.com,MetaQuotes,https://www.metaquotes.net,First-party host
2495,ntv.io,NTV,https://www.ntv.com.tr/,static server
2496,hybrid.ai,Hybrid.ai,https://hybrid.ai/,marketing
2497,wootric.com,Wootric,wootric.com,analytics
2498,mixmarket.biz,Mixmarket,mixmarket.biz,marketing
2499,delta.com,Delta Air Lines,https://www.delta.com/,first-party host
